Region1,Region2,MeanDiff,0.17%,99.83%,Sig
HSE Dublin and Midlands,HSE Dublin and North East,0.1561,-1.4796,1.8056,No
HSE Dublin and Midlands,HSE Dublin and South East,-0.112,-1.814,1.5758,No
HSE Dublin and Midlands,HSE Mid West,-0.1489,-2.6799,2.3568,No
HSE Dublin and Midlands,HSE South West,-0.5537,-2.7297,1.6188,No
HSE Dublin and Midlands,HSE West and North West,-1.6353,-3.9371,0.6606,No
HSE Dublin and North East,HSE Dublin and South East,-0.2681,-1.6298,1.1336,No
HSE Dublin and North East,HSE Mid West,-0.305,-2.6012,2.0277,No
HSE Dublin and North East,HSE South West,-0.7098,-2.663,1.2233,No
HSE Dublin and North East,HSE West and North West,-1.7915,-3.8793,0.3045,No
HSE Dublin and South East,HSE Mid West,-0.0369,-2.3902,2.3233,No
HSE Dublin and South East,HSE South West,-0.4417,-2.4307,1.5616,No
HSE Dublin and South East,HSE West and North West,-1.5233,-3.6865,0.5856,No
HSE Mid West,HSE South West,-0.4048,-3.0838,2.3211,No
HSE Mid West,HSE West and North West,-1.4864,-4.3153,1.2669,No
HSE South West,HSE West and North West,-1.0817,-3.5821,1.4463,No
