parameter,rhat
alpha[1],1.0001398813935534
alpha[2],1.0001382056116892
alpha[3],1.0000790853587347
alpha[4],1.000077459744782
alpha[5],1.0001618266580334
alpha[6],1.000062231492254
beta[1],1.0000131182647751
beta[2],1.000007901277622
beta[3],1.0001410594831448
beta[4],1.0000328348946521
beta[5],1.0000914191136616
beta[6],1.0001633379345314
gamma[1],1.0002261941158128
gamma[2],1.0000176766103197
gamma[3],1.0001112583276983
gamma[4],1.0000345344732868
gamma[5],1.0001540548600478
gamma[6],1.000123537557117
tau[1],0.9999853785781081
tau[2],1.0000649314193388
tau[3],1.0000454307848976
tau[4],1.0000043973364636
tau[5],1.0000925879295077
tau[6],1.0000281161162923
phi,1.0000308166555794
delta_pre,1.0000677275536278
delta_mid,0.9999995735378246
delta_post,0.999994764529182
sigma_pre,1.0001029242520865
sigma_mid,1.0000130185299148
sigma_post,1.0000316520793624
