"param","Point est.","Upper C.I."
"alpha[1]",1.00000400000208,1.00001456059346
"alpha[2]",1.00006842999287,1.00027751031826
"alpha[3]",0.999995043458673,1.00004738772492
"alpha[4]",1.00001540316104,1.00008411455574
"alpha[5]",1.00006842883186,1.00026826772971
"alpha[6]",1.00013824165437,1.00038301287141
"beta[1]",1.00056404602947,1.00168116961322
"beta[2]",1.00013650967296,1.00034705923905
"beta[3]",1.00030213622463,1.00036360840929
"beta[4]",1.00179406030013,1.00532069944206
"beta[5]",1.00020022016875,1.00034633757588
"beta[6]",1.00100069646398,1.00314857629991
"delta_mid[1]",1.00000183968558,1.00004431244656
"delta_mid[2]",1.00032853351513,1.00106518188774
"delta_mid[3]",0.999992532556602,0.999995134468965
"delta_mid[4]",1.00022073687197,1.00066780408455
"delta_mid[5]",1.0000538992719,1.00018077465347
"delta_mid[6]",1.00020495049487,1.00070276095749
"delta_post[1]",1.00005048318589,1.00021085943611
"delta_post[2]",1.00031569549544,1.00103353363164
"delta_post[3]",1.00003265840984,1.00010542028319
"delta_post[4]",1.00014461731568,1.00044739915453
"delta_post[5]",1.00013120270651,1.00039503938709
"delta_post[6]",1.00020356751251,1.00068181046371
"delta_pre[1]",1.00002422374344,1.00012196935631
"delta_pre[2]",1.00004047961791,1.00015284894801
"delta_pre[3]",1.00003648477612,1.00007872998103
"delta_pre[4]",1.00013661480982,1.00036803744835
"delta_pre[5]",1.00009597029237,1.00033784764123
"delta_pre[6]",1.00008836777246,1.00033039855982
"eta_beta",1.00083401531827,1.00248044973354
"eta_gamma",1.00048956088352,1.00129738017293
"gamma[1]",1.00069960256385,1.00187119379013
"gamma[2]",1.0001461590591,1.00029568211309
"gamma[3]",1.00031435189321,1.00041751169545
"gamma[4]",1.00051770921115,1.00138129558781
"gamma[5]",1.0002912394675,1.00042713570861
"gamma[6]",1.00049580218037,1.00110570099813
"mu_beta",1.00112370657025,1.00300408385888
"mu_gamma",1.00087763566328,1.00165732139832
"phi",1.00022091080358,1.00075621103679
"sigma_mid",1.00000464643812,1.00002035004156
"sigma_post",0.999994832503987,1.00000355527552
"sigma_pre",1.00003165342577,1.00014183877678
"tau[1]",1.00012466190317,1.00043581392242
"tau[2]",1.00007611295808,1.00028460813793
"tau[3]",1.00002421084166,1.00010740272047
"tau[4]",1.00001498543134,1.00009360824177
"tau[5]",1.00002914028023,1.00013372231618
"tau[6]",0.999991428473882,1.00003240729782
"tau_beta",1.00127116442114,1.00212715276344
"tau_gamma",1.00032358044818,1.00046593966637
