region,hospital,tx_inpatient,tx_day,closures_inpatient,closures_day
HSE Dublin and Midlands,Children's Health Ireland,361,97,2,
HSE Dublin and Midlands,Coombe Women and Infants University Hospital,189,30,,
HSE Dublin and Midlands,HSE Surgical Hub South Dublin,,29,,
HSE Dublin and Midlands,MRH Mullingar,203,33,,
HSE Dublin and Midlands,MRH Portlaoise,139,19,,
HSE Dublin and Midlands,MRH Tullamore,233,80,,
HSE Dublin and Midlands,Naas General Hospital,202,22,1,
HSE Dublin and Midlands,St. James's Hospital,735,125,8,3
HSE Dublin and Midlands,St. Luke's Radiation Oncology Network,56,16,19,
HSE Dublin and Midlands,Tallaght University Hospital,472,124,5,
HSE Dublin and North East,Beaumont Hospital,726,168,3,
HSE Dublin and North East,Cavan General Hospital,242,49,,
HSE Dublin and North East,Connolly Hospital,364,55,,
HSE Dublin and North East,Louth County Hospital,1,32,,
HSE Dublin and North East,Mater Misericordiae University Hospital,671,225,2,
HSE Dublin and North East,Monaghan Hospital,,20,,
HSE Dublin and North East,National Orthopaedic Hospital Cappagh,95,35,,
HSE Dublin and North East,Our Lady of Lourdes Hospital,458,45,2,
HSE Dublin and North East,Our Lady's Hospital Navan,102,15,6,
HSE Dublin and North East,Rotunda Hospital,168,15,,
HSE Dublin and South East,Kilcreene Regional Orthopaedic Hospital,20,11,,
HSE Dublin and South East,National Maternity Hospital,152,17,,
HSE Dublin and South East,National Rehabilitation Hospital,120,9,,
HSE Dublin and South East,Royal Victoria Eye and Ear Hospital,25,27,,
HSE Dublin and South East,St. Columcille's Hospital,115,7,,
HSE Dublin and South East,St. Luke's General Hospital Kilkenny,260,25,1,
HSE Dublin and South East,St. Michael's Hospital,96,20,,
HSE Dublin and South East,St. Vincent's University Hospital,546,138,,
HSE Dublin and South East,Tipperary University Hospital,250,22,,1
HSE Dublin and South East,UH Waterford,472,118,,
HSE Dublin and South East,Wexford General Hospital,222,53,7,
HSE Midwest,Croom Orthopaedic Hospital,44,33,,
HSE Midwest,Ennis Hospital,50,19,,
HSE Midwest,Nenagh Hospital,52,24,,
HSE Midwest,St. John's Hospital Limerick,89,10,,
HSE Midwest,UH Limerick,554,135,1,
HSE Midwest,UMH Limerick,102,,9,
HSE South West,Bantry General Hospital,47,14,,
HSE South West,Cork University Hospital,668,134,1,
HSE South West,Cork University Maternity Hospital,193,7,13,
HSE South West,Mallow General Hospital,71,20,,
HSE South West,Mercy University Hospital,200,74,,
HSE South West,South Infirmary Victoria University Hospital,121,89,,
HSE South West,UH Kerry,283,60,3,
HSE West and North West,Galway University Hospitals,665,142,5,
HSE West and North West,Letterkenny University Hospital,378,71,1,
HSE West and North West,Mayo University Hospital,272,57,,
HSE West and North West,Portiuncula University Hospital,195,27,,
HSE West and North West,Roscommon University Hospital,66,32,,1
HSE West and North West,Sligo University Hospital,318,72,2,
