Region,Period,mean,ci,n
Dublin and Midlands,2022Q1,922.0,862.9577372299052,7.0
Dublin and Midlands,2022Q2,1486.7142857142858,1236.4407949592432,7.0
Dublin and Midlands,2022Q3,2865.1428571428573,3777.9515421201236,7.0
Dublin and Midlands,2022Q4,2995.1428571428573,3990.2333579056262,7.0
Dublin and Midlands,2023Q1,3292.8571428571427,3831.62002738727,7.0
Dublin and Midlands,2023Q2,3109.1428571428573,3747.8091612266758,7.0
Dublin and Midlands,2023Q3,3070.714285714286,3638.727123463853,7.0
Dublin and Midlands,2023Q4,2973.4285714285716,3394.4411321785187,7.0
Dublin and Midlands,2024Q1,3237.4285714285716,3746.9524031189385,7.0
Dublin and Midlands,2024Q2,3025.8571428571427,3417.7027142748484,7.0
Dublin and Midlands,2024Q3,2922.8571428571427,3445.0846514106047,7.0
Dublin and Midlands,2024Q4,2901.714285714286,3461.998274541228,7.0
Dublin and North East,2022Q1,811.8,973.8138493845738,10.0
Dublin and North East,2022Q2,1194.9,1335.2238990919077,10.0
Dublin and North East,2022Q3,1197.0,1366.6216725625604,10.0
Dublin and North East,2022Q4,1029.5,1241.5143732923982,10.0
Dublin and North East,2023Q1,1012.1,1286.19714845154,10.0
Dublin and North East,2023Q2,1249.7,1685.0279473868916,10.0
Dublin and North East,2023Q3,1217.6,1750.3684157312546,10.0
Dublin and North East,2023Q4,1125.6,1551.360824891281,10.0
Dublin and North East,2024Q1,1297.6,1633.373455480919,10.0
Dublin and North East,2024Q2,1334.9,1871.9689257951438,10.0
Dublin and North East,2024Q3,1246.1,1808.0376391685563,10.0
Dublin and North East,2024Q4,1191.6,1605.3413779457155,10.0
Dublin and South East,2022Q1,391.09090909090907,546.4673666303928,11.0
Dublin and South East,2022Q2,663.6363636363636,650.427505153145,11.0
Dublin and South East,2022Q3,490.0,511.3993693938637,11.0
Dublin and South East,2022Q4,557.4545454545455,539.6657812367072,11.0
Dublin and South East,2023Q1,1628.909090909091,2019.4291229332582,11.0
Dublin and South East,2023Q2,1494.3636363636363,1787.6747398148443,11.0
Dublin and South East,2023Q3,1309.7272727272727,1467.5024188112418,11.0
Dublin and South East,2023Q4,1139.909090909091,1396.908481962374,11.0
Dublin and South East,2024Q1,1145.7272727272727,1330.288128855147,11.0
Dublin and South East,2024Q2,1325.0,1602.8029473338563,11.0
Dublin and South East,2024Q3,1314.909090909091,1577.4915070500167,11.0
Dublin and South East,2024Q4,1150.1818181818182,1580.4863923478013,11.0
Mid West,2022Q1,798.8333333333334,1063.6214088656732,6.0
Mid West,2022Q2,852.8333333333334,1185.0557753224284,6.0
Mid West,2022Q3,755.6666666666666,850.1816588842853,6.0
Mid West,2022Q4,683.3333333333334,916.8360498718345,6.0
Mid West,2023Q1,790.3333333333334,1024.0331815993795,6.0
Mid West,2023Q2,653.1666666666666,872.7962381984257,6.0
Mid West,2023Q3,707.8333333333334,920.5428864005745,6.0
Mid West,2023Q4,366.6666666666667,495.2578730734103,6.0
Mid West,2024Q1,315.3333333333333,308.25815068557785,6.0
Mid West,2024Q2,296.1666666666667,364.13838988391245,6.0
Mid West,2024Q3,732.1666666666666,809.9977510791864,6.0
Mid West,2024Q4,305.5,381.25738265056066,6.0
South West,2022Q1,148.83333333333334,146.77912234757565,6.0
South West,2022Q2,829.5,957.8457847575169,6.0
South West,2022Q3,1561.6666666666667,2882.0811044690063,6.0
South West,2022Q4,1656.8333333333333,3287.813655260689,6.0
South West,2023Q1,1154.1666666666667,1831.0425313402347,6.0
South West,2023Q2,316.0,431.9730011615011,6.0
South West,2023Q3,898.3333333333334,1391.042306720765,6.0
South West,2023Q4,2213.6666666666665,4602.119758960693,6.0
South West,2024Q1,2253.3333333333335,4919.197951976562,6.0
South West,2024Q2,2659.1666666666665,5544.762316213451,6.0
South West,2024Q3,2700.6666666666665,5649.2894221287015,6.0
South West,2024Q4,1605.5,2874.017387063663,6.0
West and North West,2022Q1,781.1666666666666,914.6324797055917,6.0
West and North West,2022Q2,980.6666666666666,1300.5438157762028,6.0
West and North West,2022Q3,1039.3333333333333,1411.2997875866465,6.0
West and North West,2022Q4,778.8333333333334,694.7759837520267,6.0
West and North West,2023Q1,762.1666666666666,434.8684102999594,6.0
West and North West,2023Q2,806.0,514.8168019697232,6.0
West and North West,2023Q3,864.3333333333334,560.5800590604294,6.0
West and North West,2023Q4,921.6666666666666,638.8881663678969,6.0
West and North West,2024Q1,966.0,605.9321790809721,6.0
West and North West,2024Q2,803.3333333333334,481.1749574997866,6.0
West and North West,2024Q3,1009.0,915.6030968709471,6.0
West and North West,2024Q4,918.1666666666666,659.5749053758196,6.0
