Region,Period,rate_per_1k,ci_lo,ci_hi,n_hospitals,population
Dublin and Midlands,2022Q1,5.989018586001435,2.3133906623646694,10.414433776060443,7,1077639
Dublin and Midlands,2022Q2,9.65722287333699,4.976620185423876,16.212804102301398,7,1077639
Dublin and Midlands,2022Q3,18.6110562071343,4.751127232774612,39.01956035369915,7,1077639
Dublin and Midlands,2022Q4,19.455494836396976,4.725144505720376,40.900524201518316,7,1077639
Dublin and Midlands,2023Q1,21.389352092862268,6.360084406744744,41.52039783266938,7,1077639
Dublin and Midlands,2023Q2,20.196002557442704,5.491634953820342,39.90575693715614,7,1077639
Dublin and Midlands,2023Q3,19.946382786814507,5.776516996879289,39.28282105603082,7,1077639
Dublin and Midlands,2023Q4,19.31444574667398,5.783407059321349,36.75013153755561,7,1077639
Dublin and Midlands,2024Q1,21.029305732253565,6.54579130859221,41.802704801886314,7,1077639
Dublin and Midlands,2024Q2,19.655005061992,6.178321311682297,38.73653421971551,7,1077639
Dublin and Midlands,2024Q3,18.98594984034542,4.9831158671874345,36.59945491950459,7,1077639
Dublin and Midlands,2024Q4,18.848612568773028,4.826964317364165,37.33857070874383,7,1077639
Dublin and North East,2022Q1,6.838617719753143,1.1759928968681186,14.308341799471306,10,1187082
Dublin and North East,2022Q2,10.065858971831767,2.4467770549970433,20.563743700940613,10,1187082
Dublin and North East,2022Q3,10.083549409392106,1.721742895604516,20.385217701894213,10,1187082
Dublin and North East,2022Q4,8.672526413508082,1.305996552891881,18.30109461688408,10,1187082
Dublin and North East,2023Q1,8.52594850229386,1.3343644331225646,17.831266079344136,10,1187082
Dublin and North East,2023Q2,10.527495151977707,1.2669301699461368,23.339984095454227,10,1187082
Dublin and North East,2023Q3,10.257084177841127,1.0226547113004831,22.777828321885092,10,1187082
Dublin and North East,2023Q4,9.482074532340647,1.2492186723410852,22.632071752414742,10,1187082
Dublin and North East,2024Q1,10.931005608711109,2.1825366739618666,25.18393843053807,10,1187082
Dublin and North East,2024Q2,11.245221475854237,1.1085165136022617,25.053787354200686,10,1187082
Dublin and North East,2024Q3,10.497168687588557,0.9603169789450097,25.97385858769655,10,1187082
Dublin and North East,2024Q4,10.038059712808382,1.4413073401837448,23.293062315829875,10,1187082
Dublin and South East,2022Q1,4.430059736812026,0.5859377011264627,10.494386222534812,11,971093
Dublin and South East,2022Q2,7.51730266823054,1.8780899460710767,14.230743090517587,11,971093
Dublin and South East,2022Q3,5.550446764625015,1.520966580955686,10.953636778351816,11,971093
Dublin and South East,2022Q4,6.3145342413136545,1.6166319806650857,12.13112441341869,11,971093
Dublin and South East,2023Q1,18.45137386429518,4.2423331236040225,39.8747596780123,11,971093
Dublin and South East,2023Q2,16.9273179808731,3.1743097725964455,36.25386548971105,11,971093
Dublin and South East,2023Q3,14.835860211122931,3.6503455384808663,30.20328639996375,11,971093
Dublin and South East,2023Q4,12.91225454204695,2.655229725680239,28.5044532295053,11,971093
Dublin and South East,2024Q1,12.978159661330068,3.0408519060481334,27.042904232653306,11,971093
Dublin and South East,2024Q2,15.008861149241113,3.0171672538057632,32.01163534285593,11,971093
Dublin and South East,2024Q3,14.894556957984458,3.4009615968810403,32.14396046516656,11,971093
Dublin and South East,2024Q4,13.028618268281205,2.775995707929107,30.12262986140358,11,971093
Mid West,2022Q1,11.60366920948339,4.021217307939059,23.827104602490202,6,413059
Mid West,2022Q2,12.38806078550522,3.8275403755879913,25.681561229751683,6,413059
Mid West,2022Q3,10.976640140996807,4.016375384630282,20.730694646527493,6,413059
Mid West,2022Q4,9.92594278299226,3.079039556092471,20.696801183366055,6,413059
Mid West,2023Q1,11.480200165109585,4.352889054590264,23.3283865016862,6,413059
Mid West,2023Q2,9.487748723547966,3.176301690557523,19.39674477495951,6,413059
Mid West,2023Q3,10.281824146187349,3.3264013131296015,20.844479844283747,6,413059
Mid West,2023Q4,5.326115639654383,1.7939325859017718,10.996007834231913,6,413059
Mid West,2024Q1,4.58045945010277,1.8254050874088206,7.9657506554753565,6,413059
Mid West,2024Q2,4.302048859848108,1.549415458808548,8.509680215175072,6,413059
Mid West,2024Q3,10.635284547728048,4.038164039519779,20.159347696091842,6,413059
Mid West,2024Q4,4.437622712493857,1.5131010339927227,8.86556157837016,6,413059
South West,2022Q1,1.205756304903769,0.4766315516584888,2.0944446094726774,6,740614
South West,2022Q2,6.720099809077333,1.9983419163018792,12.707024171835801,6,740614
South West,2022Q3,12.651664699830143,1.806609110818861,31.12417534640177,6,740614
South West,2022Q4,13.422646614835799,1.3070236317433914,34.21215369949798,6,740614
South West,2023Q1,9.350349844858455,1.8133602659415025,21.148668537186715,6,740614
South West,2023Q2,2.5600380225056507,0.6130048851358468,5.17678574804149,6,740614
South West,2023Q3,7.27774522220752,1.1976549187565992,15.99753717861126,6,740614
South West,2023Q4,17.933768467784837,1.4974062062018811,46.98803965358473,6,740614
South West,2024Q1,18.255123451622573,1.3428385096690045,49.7303588644017,6,740614
South West,2024Q2,21.542935996348973,1.7931068005735782,56.80826989497903,6,740614
South West,2024Q3,21.87914352145652,2.1387659428528223,58.00862527578469,6,740614
South West,2024Q4,13.006775459281084,2.264134893480274,31.60350736010931,6,740614
West and North West,2022Q1,6.169930441833892,2.0535718987115152,11.59873205099177,6,759652
West and North West,2022Q2,7.745651956422151,2.276042187738596,15.715090594114148,6,759652
West and North West,2022Q3,8.209022025875004,2.3945174895873373,16.988041892866732,6,759652
West and North West,2022Q4,6.151500950435199,2.649897584683513,10.233764934469992,6,759652
West and North West,2023Q1,6.01986172615882,3.675367141796507,8.443339845086962,6,759652
West and North West,2023Q2,6.366072886005697,3.581903292560278,9.131812988052424,6,759652
West and North West,2023Q3,6.826810170973025,3.762249029818917,9.718923928325076,6,759652
West and North West,2023Q4,7.279649102483769,3.964973435204541,10.81416227430455,6,759652
West and North West,2024Q1,7.6298094390589375,4.625802341071964,11.166955395365246,6,759652
West and North West,2024Q2,6.345010610121476,4.151901133677,9.291096449426844,6,759652
West and North West,2024Q3,7.9694386376919955,3.4041903397871653,13.310041966584699,6,759652
West and North West,2024Q4,7.25200486538573,3.7964752281307756,10.864185179529574,6,759652
